"date_report","reported","revised"
"17-06-2021","1091",1101
"18-06-2021","995",989
"19-06-2021","820",845
"20-06-2021","590",610
"21-06-2021","978",944
"22-06-2021","534",530
"23-06-2021","726",713
"24-06-2021","727",727
"25-06-2021","628",631
"26-06-2021",NA,437
"27-06-2021",NA,414
"28-06-2021","1169",1110
"29-06-2021","443",450
"30-06-2021","637",612
"01-07-2021","84",127
"02-07-2021","893",855
"03-07-2021","297",307
"04-07-2021","236",255
"05-07-2021","903",888
"06-07-2021","289",298
"07-07-2021","580",561
"08-07-2021","568",550
"09-07-2021","757",769
"10-07-2021","226",244
"11-07-2021","167",167
"12-07-2021","541",734
"13-07-2021","250",306
"14-07-2021","378",365
"15-07-2021","416",418
"16-07-2021","414",406
"17-07-2021","317",326
"18-07-2021","282",302
"19-07-2021","648",633
"20-07-2021","322",327
"21-07-2021","528",503
"22-07-2021","378",401
"23-07-2021","590",586
"24-07-2021","329",356
"25-07-2021","265",264
"26-07-2021","1075",1044
"27-07-2021","559",568
"28-07-2021","796",789
"29-07-2021","904",906
"30-07-2021","935",933
"31-07-2021","368",388
"01-08-2021","273",275
"02-08-2021","223",247
"03-08-2021","2366",2326
"04-08-2021","985",980
"05-08-2021","1532",1530
"06-08-2021","1574",1575
"07-08-2021","555",572
"08-08-2021","583",605
"09-08-2021","3226",3170
"10-08-2021","1338",1346
"11-08-2021","1971",1970
"12-08-2021","2126",2137
"13-08-2021","2464",2454
"14-08-2021","705",901
"15-08-2021","706",750
"16-08-2021","4438",4359
"17-08-2021","2663",1868
"18-08-2021",NA,2521
"19-08-2021","2871",2859
"20-08-2021",NA,2967
"21-08-2021","887",930
"22-08-2021","833",867
"23-08-2021",NA,5974
"24-08-2021","2387",2398
"25-08-2021","3152",3153
"26-08-2021","3508",3494
"27-08-2021","3797",3795
"28-08-2021","1296",1305
"29-08-2021","1017",1085
"30-08-2021","7418",7333
"31-08-2021","2926",2921
"01-09-2021","4022",4001
"02-09-2021","4000",4012
"03-09-2021","4268",4264
"04-09-2021","1428",1488
"05-09-2021","1381",1454
"06-09-2021","1070",1113
"07-09-2021","10376",10223
"08-09-2021","3728",3718
"09-09-2021","4267",4228
"10-09-2021","4645",4685
"11-09-2021",NA,1815
"12-09-2021","1413",1489
"13-09-2021",NA,9538
"14-09-2021","3998",3993
"15-09-2021",NA,4461
"16-09-2021",NA,4670
"17-09-2021","5094",5102
"18-09-2021",NA,1783
"19-09-2021",NA,1764
"20-09-2021","9292",9048
"21-09-2021",NA,3721
"22-09-2021",NA,4061
"23-09-2021","4605",4606
"24-09-2021",NA,4573
"25-09-2021",NA,1017
"26-09-2021","875",975
"27-09-2021","11692",11561
"28-09-2021","3467",3462
"29-09-2021","4328",4284
"30-09-2021","3471",3534
"01-10-2021","5643",5607
"02-10-2021",NA,1587
"03-10-2021","1199",1263
"04-10-2021",NA,8667
"05-10-2021","2661",2648
"06-10-2021",NA,3817
"07-10-2021","4047",4020
"08-10-2021","4213",4200
"09-10-2021","1416",1478
"10-10-2021","1358",1369
"11-10-2021","1116",1214
"12-10-2021","8184",8044
"13-10-2021","2701",2650
"14-10-2021","3216",3230
"15-10-2021","2761",2752
"16-10-2021","1995",2044
"17-10-2021","1043",1107
"18-10-2021","6094",6017
"19-10-2021","2179",2172
"20-10-2021","2758",2730
"21-10-2021","2888",2898
"22-10-2021","2609",2608
"23-10-2021","973",1001
"24-10-2021","805",851
"25-10-2021","4938",4887
"26-10-2021","1816",1806
"27-10-2021","2563",2549
"28-10-2021","2660",2653
"29-10-2021","2567",2565
"30-10-2021","909",958
"31-10-2021","887",938
"01-11-2021","4500",4432
"02-11-2021","1920",1915
"03-11-2021","2299",2283
"04-11-2021",NA,2626
"05-11-2021","2517",2526
"06-11-2021",NA,1092
"07-11-2021",NA,991
"08-11-2021","5420",5300
"09-11-2021",NA,2324
"10-11-2021","2746",2724
"11-11-2021",NA,1223
"12-11-2021",NA,4186
"13-11-2021","1021",1079
"14-11-2021","977",1040
"15-11-2021","4986",4854
"16-11-2021","1807",1812
"17-11-2021","2626",2622
"18-11-2021","2765",2746
"19-11-2021","2846",2908
"20-11-2021","1281",1364
"21-11-2021","1059",1138
"22-11-2021","5179",5028
"23-11-2021","2208",2230
"24-11-2021","2751",2711
"25-11-2021","4229",4215
"26-11-2021","3037",3051
"27-11-2021","1528",1615
"28-11-2021","1179",1292
"29-11-2021","5105",4920
"30-11-2021","2363",2409
"01-12-2021","3286",3252
"02-12-2021","3263",3274
"03-12-2021","3558",3564
"04-12-2021","1912",1997
"05-12-2021","1648",1803
"06-12-2021","6173",5986
"07-12-2021","3036",2984
"08-12-2021","3791",3801
"09-12-2021","4229",4193
"10-12-2021","2998",3097
"11-12-2021","4426",4707
"12-12-2021","2189",2453
"13-12-2021","8511",8034
"14-12-2021","4484",4499
"15-12-2021","6197",6253
"16-12-2021","7456",7611
"17-12-2021","8997",9265
"18-12-2021","5133",5445
"19-12-2021","5612",6026
"20-12-2021","20008",19350
"21-12-2021","12271",12252
"22-12-2021","15863",15684
"23-12-2021","22950",22620
"24-12-2021","23464",26234
"25-12-2021","9319",16082
"26-12-2021","8995",13666
"27-12-2021","25366",25073
"28-12-2021","20533",23768
"29-12-2021","55130",54725
"30-12-2021","37582",41698
"31-12-2021","41400",46363
"01-01-2022","17386",24350
"02-01-2022","18878",23817
"03-01-2022","55322",56181
"04-01-2022","47814",45527
"05-01-2022","40245",40111
"06-01-2022","42149",42069
"07-01-2022","44451",44405
"08-01-2022","21995",23225
"09-01-2022","20508",21536
"10-01-2022","74031",72364
"11-01-2022","29287",29361
"12-01-2022","35720",35685
"13-01-2022","31659",31605
"14-01-2022","39957",40605
"15-01-2022","12531",12934
"16-01-2022","10763",11563
"17-01-2022","53697",54742
"18-01-2022","20199",20328
"19-01-2022","23987",24040
"20-01-2022","22825",22890
"21-01-2022","22244",22675
"22-01-2022","10368",10731
"23-01-2022","9682",10007
"24-01-2022","24808",24058
"25-01-2022","24500",24347
"26-01-2022","19869",19186
"27-01-2022","18166",18105
"28-01-2022","17687",17712
"29-01-2022","7304",7467
"30-01-2022","6109",6278
"31-01-2022","24994",24751
"01-02-2022","11322",11271
"02-02-2022","15495",15492
"03-02-2022","13853",13937
"04-02-2022","14032",13963
"05-02-2022","5467",5576
"06-02-2022","4517",4579
"07-02-2022","18922",18804
"08-02-2022","9108",9068
"09-02-2022","11527",11510
"10-02-2022","10143",10158
"11-02-2022","7981",8084
"12-02-2022","6710",6704
"13-02-2022","3260",5777
"14-02-2022","14067",14083
"15-02-2022","6287",6305
"16-02-2022","8354",8326
"17-02-2022","7247",7239
"18-02-2022","7439",7436
"19-02-2022","2641",2850
"20-02-2022","1966",3585
"21-02-2022","2493",2700
"22-02-2022","9904",9889
"23-02-2022","10224",10243
"24-02-2022","5829",5837
"25-02-2022","7895",7924
"26-02-2022","695",1017
"27-02-2022","2735",4159
"28-02-2022","11037",11139
"01-03-2022","3423",3321
"02-03-2022","8087",8087
"03-03-2022","5179",5179
"04-03-2022","8922",8922
"05-03-2022","1767",1767
"06-03-2022","1308",2321
"07-03-2022","9433",9433
"08-03-2022","4835",4835
"09-03-2022","7673",7673
"10-03-2022","4528",5910
"11-03-2022","7292",7292
"12-03-2022","1364",1364
"13-03-2022","1120",1120
