"date","rr","gp","p","ts","w","r"
"314","2020-12-24",-22,31,-3,-62,-64,20
"315","2020-12-25",-85,-78,-20,-82,-86,29
"316","2020-12-26",-59,-40,-15,-64,-41,14
"317","2020-12-27",-43,-23,16,-58,-24,10
"318","2020-12-28",-36,-10,16,-69,-68,23
"319","2020-12-29",-34,-2,20,-65,-59,21
"320","2020-12-30",-32,6,-3,-64,-59,21
"321","2020-12-31",-28,19,31,-65,-64,21
"322","2021-01-01",-74,-67,11,-80,-83,31
"323","2021-01-02",-48,-21,6,-60,-29,14
"324","2021-01-03",-43,-18,22,-57,-21,10
"325","2021-01-04",-38,-10,-2,-62,-44,17
"326","2021-01-05",-38,-7,-9,-62,-43,17
"327","2021-01-06",-39,-10,0,-61,-42,18
"328","2021-01-07",-39,-10,3,-62,-42,18
"329","2021-01-08",-42,-14,-11,-62,-40,19
"330","2021-01-09",-42,-11,25,-56,-18,12
"331","2021-01-10",-43,-16,19,-59,-20,10
"332","2021-01-11",-41,-16,-12,-62,-40,17
"333","2021-01-12",-41,-13,-10,-62,-40,17
"334","2021-01-13",-42,-13,-7,-62,-40,17
"335","2021-01-14",-45,-18,-9,-64,-42,18
"336","2021-01-15",-45,-17,-12,-64,-41,19
"337","2021-01-16",-48,-21,3,-61,-22,13
"338","2021-01-17",-46,-21,15,-61,-23,10
"339","2021-01-18",-43,-19,-5,-63,-41,16
"340","2021-01-19",-44,-17,-10,-63,-41,17
"341","2021-01-20",-43,-17,-15,-63,-40,17
"342","2021-01-21",-43,-16,-9,-63,-40,17
"343","2021-01-22",-44,-17,-15,-63,-39,19
"344","2021-01-23",-43,-14,1,-59,-20,12
"345","2021-01-24",-47,-22,-9,-63,-23,10
"346","2021-01-25",-43,-19,-13,-64,-40,16
"347","2021-01-26",-47,-22,-16,-64,-41,17
"348","2021-01-27",-43,-16,-13,-62,-40,17
"349","2021-01-28",-42,-16,-18,-63,-39,17
"350","2021-01-29",-43,-16,-22,-63,-39,18
"351","2021-01-30",-41,-11,2,-60,-18,12
"352","2021-01-31",-42,-17,6,-62,-21,9
"353","2021-02-01",-40,-14,-14,-63,-39,16
"354","2021-02-02",-44,-18,-18,-64,-41,17
"355","2021-02-03",-42,-16,-2,-62,-39,17
"356","2021-02-04",-40,-13,1,-62,-38,16
"357","2021-02-05",-45,-18,-22,-63,-38,18
"358","2021-02-06",-43,-13,-4,-60,-18,12
"359","2021-02-07",-44,-16,11,-62,-20,10
"360","2021-02-08",-40,-20,-19,-64,-40,16
"361","2021-02-09",-38,-14,-14,-62,-38,16
"362","2021-02-10",-38,-13,-21,-62,-37,16
"363","2021-02-11",-36,-10,-20,-62,-37,16
"364","2021-02-12",-37,-10,-29,-62,-38,18
"365","2021-02-13",-37,-4,-19,-58,-19,12
"366","2021-02-14",-29,-3,26,-57,-18,8
"367","2021-02-15",-49,-30,8,-72,-67,22
"368","2021-02-16",-41,-16,-24,-62,-43,18
"369","2021-02-17",-32,-6,-8,-58,-35,15
"370","2021-02-18",-32,-9,-14,-59,-35,15
"371","2021-02-19",-33,-9,-14,-59,-34,16
"372","2021-02-20",-30,-5,23,-54,-13,10
"373","2021-02-21",-29,-8,42,-55,-15,7
"374","2021-02-22",-34,-15,-10,-61,-36,15
"375","2021-02-23",-32,-8,-6,-60,-35,14
"376","2021-02-24",-31,-9,-5,-59,-34,14
"377","2021-02-25",-30,-7,-3,-59,-34,15
"378","2021-02-26",-29,-5,-3,-58,-33,15
"379","2021-02-27",-29,-6,9,-53,-12,9
"380","2021-02-28",-27,-8,23,-54,-14,7
"381","2021-03-01",-30,-11,-9,-60,-38,14
"382","2021-03-02",-31,-9,-7,-60,-38,15
"383","2021-03-03",-28,-6,15,-57,-37,14
"384","2021-03-04",-28,-6,-2,-59,-37,15
"385","2021-03-05",-30,-8,-8,-58,-36,16
"386","2021-03-06",-27,-4,13,-52,-12,9
"387","2021-03-07",-25,-7,40,-53,-13,7
"388","2021-03-08",-26,-9,13,-58,-35,13
"389","2021-03-09",-26,-6,20,-57,-34,13
"390","2021-03-10",-25,-6,23,-55,-33,13
"391","2021-03-11",-24,-5,15,-56,-33,14
"392","2021-03-12",-25,-6,7,-55,-32,14
"393","2021-03-13",-20,-1,38,-47,-10,8
