date,reported,revised,mobility
2021-03-16,3042.0,3012,-10.540107913669065
2021-03-17,3453.0,3433,-8.487410071942445
2021-03-18,3696.0,3699,-8.974040767386091
2021-03-19,4367.0,4347,-10.072442839951863
2021-03-20,3377.0,3437,-0.5568759342301943
2021-03-21,3026.0,3101,1.4781746031746033
2021-03-22,5162.0,5036,-7.250959232613909
2021-03-23,3692.0,3711,-7.280275779376498
2021-03-24,4055.0,3985,-8.364808153477219
2021-03-25,5233.0,5266,-6.389208633093525
2021-03-26,5228.0,5183,-11.432487922705317
2021-03-27,4023.0,4502,-5.592301943198805
2021-03-28,4047.0,4099,-9.116429699842024
2021-03-29,6617.0,6502,-11.206354916067149
2021-03-30,4977.0,5003,-7.555815347721822
2021-03-31,5803.0,5719,-6.32494004796163
2021-04-01,5822.0,5846,-2.660551558752997
2021-04-02,5186.0,4228,-30.006894484412477
2021-04-03,8278.0,7235,-0.874627976190476
2021-04-04,4966.0,4086,-18.99449685534591
2021-04-05,10548.0,10380,-22.18687050359712
2021-04-06,7408.0,7437,-8.414268585131895
2021-04-07,7484.0,7401,-7.280875299760193
2021-04-08,8251.0,8215,-8.076918465227818
2021-04-09,9156.0,9188,-8.727294685990339
2021-04-10,7206.0,7280,-3.2464555052790343
2021-04-11,7461.0,7509,-5.042688679245284
2021-04-12,11202.0,11116,-10.617565947242207
2021-04-13,7405.0,7343,-9.387589928057556
2021-04-14,9183.0,9181,-8.353237410071943
2021-04-15,9619.0,9591,-8.722362110311751
2021-04-16,9315.0,9329,-9.590734055354996
2021-04-17,7215.0,7342,-5.906074074074074
2021-04-18,7641.0,7682,-6.457154088050314
2021-04-19,10653.0,10545,-9.79723225030084
2021-04-20,7297.0,7279,-8.140827338129496
2021-04-21,8183.0,6443,-10.085851318944844
2021-04-22,10769.0,10803,-10.553896882494003
2021-04-23,8603.0,8609,-9.220216606498196
2021-04-24,7095.0,7127,-3.018853695324283
2021-04-25,6605.0,6695,-6.042857142857143
2021-04-26,9291.0,9222,-9.423285198555956
2021-04-27,7086.0,7035,-8.056235011990408
2021-04-28,8110.0,8084,-9.007194244604317
2021-04-29,9533.0,9176,-7.4328537170263775
2021-04-30,8160.0,8117,-9.21213768115942
2021-05-01,6615.0,7575,-1.6008888888888886
2021-05-02,7023.0,7068,-1.3134433962264151
2021-05-03,8639.0,8733,-8.870203836930456
2021-05-04,6700.0,6699,-8.866966426858513
2021-05-05,7832.0,7815,-8.87751798561151
2021-05-06,7791.0,7830,-7.090347721822542
2021-05-07,7690.0,7677,-7.095427196149218
2021-05-08,6633.0,6664,-0.7909909909909911
2021-05-09,6383.0,6447,4.344258373205741
2021-05-10,7511.0,7445,-8.215944645006017
2021-05-11,5379.0,5355,-7.972482014388489
2021-05-12,6583.0,6539,-6.3763788968824935
2021-05-13,6361.0,6388,-4.072781774580335
2021-05-14,6175.0,6150,-4.147182254196642
2021-05-15,5059.0,5091,2.874813153961136
2021-05-16,4715.0,4748,5.091587301587301
2021-05-17,5329.0,5286,-4.627256317689531
2021-05-18,3837.0,3834,-4.546402877697842
2021-05-19,5048.0,4999,-5.075119904076738
2021-05-20,4709.0,4732,-2.2062350119904077
2021-05-21,4522.0,4505,-3.973405535499398
2021-05-22,3545.0,3561,1.7784444444444445
2021-05-23,3269.0,3295,4.2514937106918245
2021-05-24,1915.0,2951,-28.447172081829123
2021-05-25,,3302,-3.9832134292565935
2021-05-26,2578.0,2575,-4.191127098321343
2021-05-27,,2933,-1.976798561151079
2021-05-28,3111.0,3096,-1.345289855072464
2021-05-29,2371.0,2392,5.22987987987988
2021-05-30,2090.0,2112,6.123317683881064
2021-05-31,2699.0,2687,-0.9338146811071002
2021-06-01,1614.0,1601,1.1086330935251798
2021-06-02,2270.0,2260,0.8866306954436448
2021-06-03,2184.0,2186,0.816546762589928
2021-06-04,2070.0,2051,0.5728484848484849
2021-06-05,1389.0,1401,5.330757575757574
2021-06-06,1348.0,1360,6.247926634768739
2021-06-07,1643.0,1639,-0.3646209386281589
2021-06-08,1083.0,1213,0.6730815347721825
2021-06-09,1612.0,1609,-0.332853717026379
2021-06-10,1376.0,1340,1.8913069544364507
2021-06-11,,1407,1.6533454987834548
2021-06-12,1188.0,1196,9.373409090909089
2021-06-13,985.0,997,9.247496087636932
2021-06-14,1246.0,1233,-0.4712996389891697
2021-06-15,855.0,854,1.590407673860911
2021-06-16,1111.0,1095,1.5667865707434052
2021-06-17,1091.0,1101,3.1134892086330934
